# session code, date, session, scheduled NYALE13S, scheduled NYALES20
R1934, 2020-02-17, XA, 1587, 1999
R4934, 2020-02-20, XE, 0, 667
R1935, 2020-02-24, XA, 1174, 1678
R4935, 2020-02-27, XE, 0, 592
R1936, 2020-03-02, XA, 854, 1223
R4936, 2020-03-05, XE, 0, 1066
R1937, 2020-03-09, XA, 769, 1200
R4937, 2020-03-12, XE, 0, 655
R1938, 2020-03-16, XA, 166, 1994
R4938, 2020-03-19, XE, 0, 1410
R1939, 2020-03-23, XA, 560, 2668
R4939, 2020-03-26, XE, 0, 1194
R1940, 2020-03-30, XA, 579, 3293
R4940, 2020-04-02, XE, 1893, 1903
R1941, 2020-04-06, XA, 232, 1822
R4941, 2020-04-08, XE, 0, 0
R1942, 2020-04-14, XA, 1132, 3183
R4942, 2020-04-16, XE, 0, 1232
R1943, 2020-04-20, XA, 1521, 3428
R4943, 2020-04-22, XE, 0, 1309
R1944, 2020-04-27, XA, 623, 1452
R4944, 2020-04-29, XE, 0, 1192
R1945, 2020-05-04, XA, 909, 2868
R4934, 2020-05-07, XE, 0, 898
R1946, 2020-05-11, XA, 738, 1941
R4946, 2020-05-14, XE, 0, 934
R1947, 2020-05-18, XA, 2703, 3095
R4947, 2020-05-21, XE, 0, 0
R1948, 2020-05-26, XA, 1740, 2038
R4948, 2020-05-28, XE, 0, 596
R1949, 2020-06-02, XA, 625, 1261
R4949, 2020-06-04, XE, 0, 653
R1950, 2020-06-08, XA, 1258, 1666
R4950, 2020-06-10, XE, 0, 559
R1951, 2020-06-15, XA, 1623, 1658
R4951, 2020-06-18, XE, 0, 1348
R1952, 2020-06-22, XA, 2236, 2182
R4952, 2020-06-25, XE, 0, 1089
R1953, 2020-06-29, XA, 2272, 2266
R4953, 2020-07-01, XE, 0, 1211
R1954, 2020-07-06, XA, 2061, 2075
R4954, 2020-07-09, XE, 0, 1289
R1955, 2020-07-13, XA, 0, 1592
R4955, 2020-07-16, XE, 0, 844
R1956, 2020-07-20, XA, 0, 1658
R4956, 2020-07-23, XE, 0, 1299
R1957, 2020-07-27, XA, 0, 1173
R4957, 2020-07-30, XE, 0, 1527
R1958, 2020-08-03, XA, 0, 0
R4958, 2020-08-06, XE, 0, 0
R1959, 2020-08-11, XA, 0, 0
R4959, 2020-08-13, XE, 0, 0
R1960, 2020-08-18, XA, 0, 2390
R4960, 2020-08-20, XE, 0, 983
R1961, 2020-08-24, XA, 0, 2563
R4961, 2020-08-27, XE, 0, 1245
R1962, 2020-08-31, XA, 0, 949
R4962, 2020-09-03, XE, 0, 1378
R1963, 2020-09-08, XA, 0, 2128
R4963, 2020-09-10, XE, 0, 1001
R1964, 2020-09-14, XA, 0, 1622
R4964, 2020-09-17, XE, 0, 983
R1965, 2020-09-21, XA, 0, 1192
R4965, 2020-09-24, XE, 0, 774
R1966, 2020-09-28, XA, 0, 1837
R4966, 2020-10-01, XE, 0, 823
R1967, 2020-10-05, XA, 0, 1187
R4967, 2020-10-08, XE, 0, 629
R1968, 2020-10-13, XA, 0, 1968
R4968, 2020-10-15, XE, 0, 500
R1969, 2020-10-19, XA, 0, 674
R4969, 2020-10-22, XE, 0, 535
R1970, 2020-10-26, XA, 0, 590
R4970, 2020-10-29, XE, 0, 514
R1971, 2020-11-03, XA, 1083, 823
R4971, 2020-11-05, XE, 0, 470
R1972, 2020-11-09, XA, 1542, 0
R4972, 2020-11-12, XE, 0, 0
R1973, 2020-11-16, XA, 692, 0
R4973, 2020-11-19, XE, 0, 0
R1974, 2020-11-24, XA, 1760, 0
R4974, 2020-11-26, XE, 0, 0
R1975, 2020-11-30, XA, 542, 0
R4975, 2020-12-03, XE, 0, 818
R1976, 2020-12-07, XA, 759, 0
R4976, 2020-12-10, XE, 0, 0
R1977, 2020-12-14, XA, 1302, 0
R4977, 2020-12-17, XE, 1269, 0
R1978, 2020-12-21, XA, 1174, 0
R4978, 2020-12-22, XE, 1168, 0
R1979, 2020-12-28, XA, 774, 0
R4979, 2020-12-29, XE, 1132, 0
R1980, 2021-01-04, XA, 584, 0
R4980, 2021-01-07, XE, 1032, 0
R1981, 2021-01-11, XA, 1760, 0
R4981, 2021-01-14, XE, 1180, 0
R1982, 2021-01-18, XA, 641, 0
R4982, 2021-01-21, XE, 660, 0
R1983, 2021-01-25, XA, 1179, 0
R4983, 2021-01-28, XE, 1226, 0
R1984, 2021-02-01, XA, 1691, 0
R4984, 2021-02-04, XE, 898, 0
R1985, 2021-02-08, XA, 1050, 0
