# URE CONTROL TOOL V3.0.3
# Computation date: 2019/03/27 17:48:12
# Analysed streams: GAL258
# Analysed PRN: all PRN
# Analysed services: E1E5a
# Analysed period: 2019/03/01
# Sampling: 120s
# Analysis centre for input files: grg
# This file gives the orbital errors, the errors due to the clock models and the UREs (WUL and global average (Av))
# BGD / TGD and DCB values are monitored in single frequency mode
# Two types of clock BRDC/SP3 adjustments are used for computation: mean and median (med).
SVID;YYYY/MM/DD;HH:MM:SS;dX(m);dY(m);dZ(m);d3D(m);dR(m);dAC(m);dH_mean(m);dB_mean(m);dBGD_mean(m);AdjBGD-DCB_mean(m);URE_WUL_mean(m);URE_Av_mean(m);dH_med(m);dB_med(m);dBGD_med(m);AdjBGD-DCB_med(m);URE_WUL_med(m);URE_Av_med(m)
E01;2019/03/01;00:00:00;2.9651E-01;-1.9997E-01;8.3990E-02;3.6737E-01;2.7058E-01;2.4850E-01;1.7362E-01;-8.0228E-02;0.0000E+00;0.0000E+00;1.4414E-01;9.7802E-02;1.4411E-01;-5.0721E-02;0.0000E+00;0.0000E+00;1.7365E-01;1.2607E-01
E02;2019/03/01;00:00:00;5.3186E-02;2.5853E-01;-2.6018E-02;2.6523E-01;3.4143E-02;2.6302E-01;-1.9102E-01;-8.0228E-02;0.0000E+00;0.0000E+00;2.8105E-01;2.2710E-01;-2.2053E-01;-5.0721E-02;0.0000E+00;0.0000E+00;3.1056E-01;2.5632E-01
E03;2019/03/01;00:00:00;-1.0875E-02;-1.1714E-01;5.7102E-02;1.3077E-01;3.2163E-02;1.2676E-01;3.8369E-02;-8.0228E-02;0.0000E+00;0.0000E+00;3.4270E-02;1.7539E-02;8.8631E-03;-5.0721E-02;0.0000E+00;0.0000E+00;4.9853E-02;2.7941E-02
E04;2019/03/01;00:00:00;6.9580E-01;2.8470E-01;4.7823E-01;8.9101E-01;-1.6055E-01;8.7642E-01;-4.8266E-01;-8.0228E-02;0.0000E+00;0.0000E+00;5.1474E-01;3.4352E-01;-5.1217E-01;-5.0721E-02;0.0000E+00;0.0000E+00;5.4425E-01;3.7154E-01
E05;2019/03/01;00:00:00;-1.1546E-02;-8.6252E-02;1.7845E-01;1.9854E-01;9.5577E-04;1.9854E-01;-3.0667E-01;-8.0228E-02;0.0000E+00;0.0000E+00;3.5039E-01;3.0866E-01;-3.3618E-01;-5.0721E-02;0.0000E+00;0.0000E+00;3.7989E-01;3.3807E-01
E07;2019/03/01;00:00:00;7.1737E-02;-8.2109E-02;2.6169E-01;2.8350E-01;1.6008E-01;2.3398E-01;2.1219E-01;-8.0228E-02;0.0000E+00;0.0000E+00;1.0629E-01;6.2386E-02;1.8268E-01;-5.0721E-02;0.0000E+00;0.0000E+00;7.6779E-02;3.9135E-02
E08;2019/03/01;00:00:00;1.8092E-01;-7.9810E-02;2.9886E-01;3.5836E-01;1.1251E-01;3.4024E-01;5.9825E-02;-8.0228E-02;0.0000E+00;0.0000E+00;1.2335E-01;6.6880E-02;3.0319E-02;-5.0721E-02;0.0000E+00;0.0000E+00;1.5285E-01;9.1340E-02
E09;2019/03/01;00:00:00;2.8355E-01;-1.7447E-01;1.6432E-02;3.3333E-01;1.6963E-02;3.3290E-01;-1.6333E-01;-8.0228E-02;0.0000E+00;0.0000E+00;2.5163E-01;1.8497E-01;-1.9284E-01;-5.0721E-02;0.0000E+00;0.0000E+00;2.8113E-01;2.1379E-01
E11;2019/03/01;00:00:00;4.1673E-02;-5.3895E-02;-4.6696E-01;4.7191E-01;1.5264E-02;4.7166E-01;1.6615E-01;-8.0228E-02;0.0000E+00;0.0000E+00;2.5292E-01;1.6271E-01;1.3664E-01;-5.0721E-02;0.0000E+00;0.0000E+00;2.2341E-01;1.3574E-01
E12;2019/03/01;00:00:00;2.3300E-01;1.1513E-01;1.3941E-02;2.6027E-01;-1.3822E-02;2.5990E-01;7.8681E-02;-8.0228E-02;0.0000E+00;0.0000E+00;1.4818E-01;9.8066E-02;4.9175E-02;-5.0721E-02;0.0000E+00;0.0000E+00;1.1867E-01;7.1009E-02
